#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
......GO:0048681	BP	e	negative regulation of axon regeneration	2/441	8/38747	0.00346	11	2	1	1	1	0.21	t24687aep, t34424aep
.....GO:2000009	BP	e	negative regulation of protein localization to cell surface	2/441	8/38747	0.00346	7	2	1	1	1	0.21	t13546aep, t13547aep
....GO:0002228	BP	e	natural killer cell mediated immunity	2/441	8/38747	0.00346	5	2	1	1	1	0.21	t24687aep, t34424aep
........GO:0010513	BP	e	positive regulation of phosphatidylinositol biosynthetic process	2/441	8/38747	0.00346	10	2	1	1	1	0.21	t13546aep, t13547aep
.......GO:0043367	BP	e	CD4-positive, alpha-beta T cell differentiation	2/441	8/38747	0.00346	8	2	1	1	1	0.21	t17956aep, t6387aep
...GO:0042493	BP	e	response to drug              	16/441	635/38747	0.00348	3	16	1	1	1	0.211	t16424aep, t17178aep, t18960aep, t19405aep, t203aep, t20542aep, t21682aep, t2368aep, t2479aep, t32280aep, t32984aep, t35573aep, t36337aep, t38672aep, t38673aep, t5914aep
....GO:0023056	BP	e	positive regulation of signaling	24/441	1115/38747	0.00356	4	24	1	1	1	0.215	t16424aep, t17178aep, t18960aep, t20542aep, t21013aep, t21682aep, t22133aep, t24246aep, t24687aep, t2479aep, t29103aep, t29320aep, t2978aep, t32280aep, t32984aep, t34424aep, t35608aep, t35837aep, t3924aep, t5403aep, t6387aep, t7281aep, t7326aep, t8946aep
...GO:0030030	BP	e	cell projection organization  	22/441	1010/38747	0.00381	3	22	1	1	1	0.229	t11116aep, t12198aep, t12680aep, t13546aep, t13547aep, t14055aep, t16424aep, t17803aep, t20542aep, t24687aep, t24938aep, t32984aep, t33020aep, t34424aep, t37004aep, t38432aep, t38611aep, t38653aep, t7326aep, t8582aep, t8946aep, t9936aep
....GO:0001558	BP	e	regulation of cell growth     	10/441	319/38747	0.00386	5	10	1	1	1	0.231	t13546aep, t13547aep, t16424aep, t18606aep, t22395aep, t2978aep, t3141aep, t3142aep, t33020aep, t38653aep
.....GO:0007157	BP	e	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	3/441	28/38747	0.00388	5	3	1	1	1	0.232	t12680aep, t18683aep, t34609aep
...GO:0019226	BP	e	transmission of nerve impulse 	3/441	28/38747	0.00388	4	3	1	1	1	0.232	t24938aep, t32280aep, t9936aep
....GO:0051604	BP	e	protein maturation            	12/441	427/38747	0.00393	5	12	1	1	1	0.234	t16424aep, t19259aep, t24687aep, t27839aep, t29674aep, t30176aep, t33022aep, t34424aep, t38611aep, t5403aep, t7281aep, t8142aep
.....GO:1901342	BP	e	regulation of vasculature development	9/441	271/38747	0.00413	5	9	1	1	1	0.243	t21682aep, t2368aep, t24687aep, t33020aep, t34385aep, t34424aep, t34609aep, t35271aep, t35488aep
....GO:0009966	BP	e	regulation of signal transduction	41/441	2287/38747	0.0042	5	41	1	1	1	0.247	t11695aep, t13546aep, t13547aep, t16424aep, t16778aep, t17178aep, t17803aep, t18338aep, t18960aep, t19587aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t24246aep, t24687aep, t25020aep, t29103aep, t29320aep, t29674aep, t2978aep, t30176aep, t31144aep, t32280aep, t32984aep, t33022aep, t34424aep, t35146aep, t35608aep, t35837aep, t3924aep, t4924aep, t5403aep, t6387aep, t7326aep, t8142aep, t8582aep, t8645aep, t8946aep
....GO:0050776	BP	e	regulation of immune response 	13/441	487/38747	0.00422	4	13	1	1	1	0.247	t16424aep, t17178aep, t17803aep, t20542aep, t22133aep, t24181aep, t24687aep, t31838aep, t34424aep, t34475aep, t35608aep, t6387aep, t8645aep
.....GO:0001818	BP	e	negative regulation of cytokine production	5/441	93/38747	0.00428	5	5	1	1	1	0.247	t21682aep, t22133aep, t24687aep, t32984aep, t34424aep
.......GO:0098661	BP	e	inorganic anion transmembrane transport	5/441	93/38747	0.00428	7	5	1	1	1	0.247	t17750aep, t29674aep, t30176aep, t33022aep, t8142aep
.......GO:0055083	BP	e	monovalent inorganic anion homeostasis	3/441	29/38747	0.0043	7	3	1	1	1	0.247	t17803aep, t24938aep, t9936aep
....GO:0046903	BP	e	secretion                     	16/441	655/38747	0.00433	4	16	1	1	1	0.247	t13546aep, t13547aep, t17803aep, t18683aep, t20542aep, t21682aep, t24938aep, t29103aep, t29764aep, t31838aep, t32280aep, t33020aep, t37405aep, t7288aep, t8222aep, t9936aep
.....GO:0060147	BP	e	regulation of posttranscriptional gene silencing	4/441	58/38747	0.00433	7	4	1	1	1	0.247	t35488aep, t35573aep, t38672aep, t38673aep
......GO:0046632	BP	e	alpha-beta T cell differentiation	2/441	9/38747	0.00441	7	2	1	1	1	0.247	t17956aep, t6387aep
.....GO:0070571	BP	e	negative regulation of neuron projection regeneration	2/441	9/38747	0.00441	10	2	1	1	1	0.247	t24687aep, t34424aep
......GO:0042036	BP	e	negative regulation of cytokine biosynthetic process	2/441	9/38747	0.00441	7	2	1	1	1	0.247	t24687aep, t34424aep
......GO:0048791	BP	e	calcium ion-regulated exocytosis of neurotransmitter	2/441	9/38747	0.00441	10	2	1	1	1	0.247	t17803aep, t9936aep
......GO:0097284	BP	e	hepatocyte apoptotic process  	2/441	9/38747	0.00441	6	2	1	1	1	0.247	t13546aep, t13547aep
.....GO:0046552	BP	e	photoreceptor cell fate commitment	2/441	9/38747	0.00441	5	2	1	1	1	0.247	t14055aep, t20542aep
......GO:0002693	BP	e	positive regulation of cellular extravasation	2/441	9/38747	0.00441	9	2	1	1	1	0.247	t24687aep, t34424aep
.....GO:0043279	BP	e	response to alkaloid          	4/441	59/38747	0.0046	5	4	1	1	1	0.256	t203aep, t2368aep, t32280aep, t5403aep
......GO:0002792	BP	e	negative regulation of peptide secretion	4/441	59/38747	0.0046	7	4	1	1	1	0.256	t2978aep, t32280aep, t32984aep, t6387aep
.....GO:0010942	BP	e	positive regulation of cell death	12/441	436/38747	0.00463	5	12	1	1	1	0.257	t14055aep, t17178aep, t18960aep, t19259aep, t21682aep, t22133aep, t24687aep, t32984aep, t34424aep, t35837aep, t3924aep, t7281aep
.....GO:0050778	BP	e	positive regulation of immune response	10/441	328/38747	0.00468	5	10	1	1	1	0.259	t16424aep, t17178aep, t22133aep, t24181aep, t24687aep, t31838aep, t34424aep, t34475aep, t35608aep, t6387aep
.....GO:0036267	BP	e	invasive filamentous growth   	3/441	30/38747	0.00473	5	3	1	1	1	0.26	t13546aep, t13547aep, t18960aep
......GO:0050848	BP	e	regulation of calcium-mediated signaling	4/441	60/38747	0.00488	7	4	1	1	1	0.268	t203aep, t24246aep, t32280aep, t32984aep
.GO:0051704	BP	e	multi-organism process        	25/441	1205/38747	0.0051	1	25	1	1	1	0.278	t11117aep, t14055aep, t16424aep, t18960aep, t19259aep, t20542aep, t22133aep, t24687aep, t31144aep, t31997aep, t32280aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t5914aep, t6387aep, t7388aep, t8582aep, t8645aep, t8946aep
....GO:0000281	BP	e	mitotic cytokinesis           	5/441	97/38747	0.00511	5	5	1	1	1	0.278	t11695aep, t13546aep, t13547aep, t32984aep, t7326aep
.GO:0050896	BP	e	response to stimulus          	77/441	4978/38747	0.00513	1	77	1	1	1	0.278	t10518aep, t11117aep, t12198aep, t13269aep, t13937aep, t14055aep, t16424aep, t16778aep, t17178aep, t17750aep, t17803aep, t18338aep, t18501aep, t18960aep, t19259aep, t19405aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t23663aep, t2368aep, t24246aep, t24687aep, t24791aep, t2479aep, t24938aep, t24949aep, t25020aep, t25302aep, t2654aep, t26772aep, t27033aep, t2723aep, t28521aep, t29320aep, t29490aep, t29674aep, t2978aep, t30054aep, t31838aep, t31944aep, t31997aep, t32280aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34475aep, t34538aep, t35573aep, t35608aep, t35837aep, t36337aep, t37405aep, t38672aep, t38673aep, t3924aep, t4831aep, t5068aep, t5403aep, t5862aep, t5914aep, t6387aep, t6933aep, t7281aep, t7326aep, t7388aep, t8142aep, t8582aep, t8645aep, t8946aep, t8951aep, t9936aep
....GO:0060255	BP	e	regulation of macromolecule metabolic process	81/441	5294/38747	0.00519	4	81	1	1	1	0.281	t10593aep, t11695aep, t12198aep, t13899aep, t14055aep, t14593aep, t14735aep, t16424aep, t16778aep, t16922aep, t17178aep, t17722aep, t17750aep, t17893aep, t18342aep, t18960aep, t19259aep, t19405aep, t20009aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t23663aep, t24687aep, t24791aep, t24949aep, t25302aep, t25651aep, t25683aep, t2654aep, t26740aep, t26772aep, t27641aep, t28405aep, t28521aep, t28608aep, t29320aep, t29490aep, t29584aep, t2978aep, t30054aep, t31144aep, t3141aep, t3142aep, t31997aep, t32280aep, t32561aep, t32984aep, t33020aep, t34385aep, t34424aep, t34538aep, t34609aep, t35488aep, t35573aep, t36169aep, t36337aep, t37004aep, t37043aep, t38458aep, t38672aep, t38673aep, t3924aep, t4831aep, t4924aep, t5403aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t7712aep, t8490aep, t8582aep, t8645aep, t8946aep, t9529aep
...GO:1901700	BP	e	response to oxygen-containing compound	23/441	1093/38747	0.00528	3	23	1	1	1	0.285	t14055aep, t17178aep, t18960aep, t19405aep, t20542aep, t20662aep, t21682aep, t2368aep, t24687aep, t2479aep, t26772aep, t2978aep, t32280aep, t32984aep, t34424aep, t35573aep, t35837aep, t36337aep, t38672aep, t38673aep, t5068aep, t5914aep, t9936aep
....GO:0048584	BP	e	positive regulation of response to stimulus	27/441	1349/38747	0.00545	4	27	1	1	1	0.287	t10028aep, t16424aep, t17178aep, t18960aep, t19259aep, t20542aep, t21013aep, t21682aep, t22133aep, t24181aep, t24246aep, t24687aep, t29103aep, t29320aep, t2978aep, t31838aep, t32280aep, t32984aep, t34424aep, t34475aep, t35608aep, t35837aep, t3924aep, t5403aep, t6387aep, t7326aep, t8946aep
.....GO:0051510	BP	e	regulation of unidimensional cell growth	2/441	10/38747	0.00547	6	2	1	1	1	0.287	t13546aep, t13547aep
....GO:0030950	BP	e	establishment or maintenance of actin cytoskeleton polarity	2/441	10/38747	0.00547	6	2	1	1	1	0.287	t30358aep, t7326aep
......GO:0097178	BP	e	ruffle assembly               	2/441	10/38747	0.00547	6	2	1	1	1	0.287	t13546aep, t13547aep
......GO:0032757	BP	e	positive regulation of interleukin-8 production	2/441	10/38747	0.00547	6	2	1	1	1	0.287	t24687aep, t34424aep
........GO:0045947	BP	e	negative regulation of translational initiation	2/441	10/38747	0.00547	9	2	1	1	1	0.287	t35488aep, t8490aep
....GO:0048522	BP	e	positive regulation of cellular process	54/441	3252/38747	0.00549	4	54	1	1	1	0.287	t10028aep, t12198aep, t13511aep, t13546aep, t13547aep, t14055aep, t16424aep, t16778aep, t17178aep, t18683aep, t18960aep, t19259aep, t19405aep, t19587aep, t19681aep, t20542aep, t21013aep, t21682aep, t22133aep, t2368aep, t24246aep, t24687aep, t2479aep, t24938aep, t2654aep, t29103aep, t29320aep, t2978aep, t30358aep, t31838aep, t32280aep, t32984aep, t34385aep, t34424aep, t34609aep, t35146aep, t35488aep, t35573aep, t35608aep, t35837aep, t37004aep, t38653aep, t38672aep, t38673aep, t3924aep, t5403aep, t6387aep, t7281aep, t7288aep, t7326aep, t8582aep, t8645aep, t8946aep, t9529aep
....GO:0042742	BP	e	defense response to bacterium 	7/441	185/38747	0.00549	6	7	1	1	1	0.287	t11117aep, t22133aep, t24687aep, t34385aep, t34424aep, t34475aep, t35837aep
...GO:0050793	BP	e	regulation of developmental process	35/441	1913/38747	0.00556	3	35	1	1	1	0.29	t10028aep, t12680aep, t13546aep, t13547aep, t14055aep, t16424aep, t16778aep, t17803aep, t18683aep, t19259aep, t19405aep, t20542aep, t21013aep, t21682aep, t2368aep, t24246aep, t24687aep, t24938aep, t30358aep, t32984aep, t33020aep, t34385aep, t34424aep, t34609aep, t35146aep, t35271aep, t35488aep, t37004aep, t4924aep, t5403aep, t7326aep, t8582aep, t8645aep, t8946aep, t9936aep
......GO:0030162	BP	e	regulation of proteolysis     	18/441	790/38747	0.00568	6	18	1	1	1	0.293	t12198aep, t17722aep, t17750aep, t19259aep, t21682aep, t22133aep, t2654aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34609aep, t36169aep, t36337aep, t37043aep, t5403aep, t7281aep
.....GO:0090288	BP	e	negative regulation of cellular response to growth factor stimulus	6/441	141/38747	0.00568	5	6	1	1	1	0.293	t16424aep, t18338aep, t21682aep, t25020aep, t31144aep, t4924aep
.........GO:0060998	BP	e	regulation of dendritic spine development	3/441	32/38747	0.00569	10	3	1	1	1	0.293	t13546aep, t13547aep, t32984aep
.....GO:0006308	BP	e	DNA catabolic process         	3/441	32/38747	0.00569	7	3	1	1	1	0.293	t11396aep, t30770aep, t8582aep
.....GO:0051347	BP	e	positive regulation of transferase activity	12/441	448/38747	0.00571	5	12	1	1	1	0.294	t17178aep, t18960aep, t20542aep, t21682aep, t22133aep, t29320aep, t2978aep, t32280aep, t32984aep, t3924aep, t7326aep, t8946aep
.......GO:0010951	BP	e	negative regulation of endopeptidase activity	9/441	286/38747	0.00583	10	9	1	1	1	0.299	t12198aep, t17750aep, t21682aep, t31144aep, t3141aep, t3142aep, t34609aep, t36169aep, t36337aep
.....GO:0006812	BP	e	cation transport              	27/441	1366/38747	0.00586	5	27	1	1	1	0.3	t14664aep, t16922aep, t17803aep, t17956aep, t18338aep, t20009aep, t203aep, t24246aep, t2479aep, t24938aep, t25020aep, t27641aep, t29098aep, t29612aep, t3227aep, t3282aep, t33764aep, t35271aep, t36613aep, t37460aep, t38611aep, t526aep, t527aep, t5520aep, t6933aep, t7288aep, t9936aep
......GO:0032269	BP	e	negative regulation of cellular protein metabolic process	20/441	903/38747	0.0059	7	20	1	1	1	0.301	t12198aep, t17722aep, t17750aep, t203aep, t20662aep, t21682aep, t2978aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34609aep, t35488aep, t36169aep, t36337aep, t37043aep, t38672aep, t8490aep, t8582aep
......GO:0043068	BP	e	positive regulation of programmed cell death	11/441	394/38747	0.00592	6	11	1	1	1	0.301	t14055aep, t17178aep, t18960aep, t19259aep, t21682aep, t22133aep, t24687aep, t32984aep, t34424aep, t3924aep, t7281aep
......GO:0098660	BP	e	inorganic ion transmembrane transport	20/441	907/38747	0.00602	6	20	1	1	1	0.305	t14664aep, t17750aep, t17803aep, t18338aep, t203aep, t2479aep, t24938aep, t25020aep, t27641aep, t29674aep, t30176aep, t3282aep, t33022aep, t36613aep, t37460aep, t526aep, t527aep, t6933aep, t8142aep, t9936aep
.GO:0065007	BP	e	biological regulation         	139/441	9951/38747	0.00605	1	139	1	1	1	0.306	t10028aep, t10518aep, t10593aep, t11116aep, t11695aep, t12198aep, t12680aep, t13511aep, t13546aep, t13547aep, t13899aep, t13937aep, t14055aep, t14347aep, t14593aep, t14664aep, t14735aep, t14933aep, t15844aep, t16424aep, t16778aep, t16922aep, t17178aep, t17722aep, t17750aep, t17803aep, t17893aep, t18338aep, t18342aep, t18501aep, t18606aep, t18683aep, t18960aep, t19259aep, t19405aep, t19587aep, t19681aep, t20009aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t22395aep, t23663aep, t2368aep, t24181aep, t24246aep, t24687aep, t24791aep, t2479aep, t24938aep, t24949aep, t25020aep, t25302aep, t25651aep, t25683aep, t25995aep, t26415aep, t2654aep, t26740aep, t26772aep, t27001aep, t27033aep, t2723aep, t27641aep, t28405aep, t28512aep, t28521aep, t28608aep, t29103aep, t29320aep, t29490aep, t29584aep, t29674aep, t2978aep, t30054aep, t30176aep, t30358aep, t31144aep, t31344aep, t3141aep, t3142aep, t31838aep, t31944aep, t31997aep, t32280aep, t32388aep, t32561aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34475aep, t34538aep, t34609aep, t35146aep, t35271aep, t35488aep, t35573aep, t35608aep, t35837aep, t36169aep, t36337aep, t36613aep, t37004aep, t37043aep, t38432aep, t38458aep, t38653aep, t38672aep, t38673aep, t3924aep, t4831aep, t4924aep, t526aep, t527aep, t536aep, t5403aep, t5862aep, t5914aep, t6387aep, t6933aep, t7281aep, t7288aep, t7326aep, t7388aep, t7577aep, t7712aep, t8142aep, t8490aep, t8582aep, t8645aep, t8946aep, t9529aep, t9802aep, t9936aep
.......GO:2000116	BP	e	regulation of cysteine-type endopeptidase activity	6/441	143/38747	0.00607	9	6	1	1	1	0.307	t19259aep, t21682aep, t22133aep, t36337aep, t5403aep, t7281aep
......GO:0051489	BP	e	regulation of filopodium assembly	4/441	64/38747	0.00614	8	4	1	1	1	0.308	t13546aep, t13547aep, t18960aep, t7326aep
.....GO:0048660	BP	e	regulation of smooth muscle cell proliferation	4/441	64/38747	0.00614	5	4	1	1	1	0.308	t21682aep, t24687aep, t32280aep, t34424aep
...GO:0002682	BP	e	regulation of immune system process	18/441	800/38747	0.00618	3	18	1	1	1	0.309	t16424aep, t16778aep, t17178aep, t17803aep, t20542aep, t21682aep, t22133aep, t24181aep, t24687aep, t31838aep, t32984aep, t34424aep, t34475aep, t35608aep, t5403aep, t6387aep, t8582aep, t8645aep
.......GO:0040028	BP	e	regulation of vulval development	3/441	33/38747	0.0062	7	3	1	1	1	0.309	t10028aep, t19259aep, t8946aep
....GO:0006508	BP	e	proteolysis                   	49/441	2928/38747	0.00644	5	49	1	1	1	0.32	t10518aep, t10593aep, t12198aep, t13511aep, t13937aep, t14055aep, t14426aep, t14664aep, t14844aep, t16153aep, t16424aep, t18960aep, t19259aep, t19723aep, t21013aep, t21229aep, t21682aep, t24246aep, t24687aep, t25651aep, t26415aep, t26438aep, t2654aep, t27839aep, t28151aep, t29320aep, t29612aep, t29674aep, t29685aep, t30176aep, t3105aep, t31144aep, t3141aep, t3142aep, t3227aep, t33020aep, t33022aep, t34385aep, t34424aep, t34609aep, t35590aep, t38611aep, t5403aep, t5520aep, t7281aep, t7388aep, t7712aep, t8142aep, t8222aep
.....GO:0051246	BP	e	regulation of protein metabolic process	39/441	2181/38747	0.00648	5	39	1	1	1	0.321	t11695aep, t12198aep, t14055aep, t17178aep, t17722aep, t17750aep, t18342aep, t18960aep, t19259aep, t203aep, t20542aep, t20662aep, t21682aep, t22133aep, t24687aep, t2654aep, t29320aep, t2978aep, t31144aep, t3141aep, t3142aep, t32280aep, t32984aep, t34385aep, t34424aep, t34609aep, t35488aep, t36169aep, t36337aep, t37043aep, t38672aep, t3924aep, t5403aep, t7281aep, t7326aep, t8490aep, t8582aep, t8645aep, t8946aep
.....GO:0051960	BP	e	regulation of nervous system development	15/441	625/38747	0.00658	5	15	1	1	1	0.323	t10028aep, t13546aep, t13547aep, t18683aep, t2368aep, t24687aep, t24938aep, t32984aep, t34385aep, t34424aep, t34609aep, t37004aep, t7326aep, t8582aep, t9936aep
.....GO:1901030	BP	e	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	2/441	11/38747	0.00664	9	2	1	1	1	0.323	t24687aep, t34424aep
.....GO:0002784	BP	e	regulation of antimicrobial peptide production	2/441	11/38747	0.00664	7	2	1	1	1	0.323	t24687aep, t34424aep
......GO:0001580	BP	e	detection of chemical stimulus involved in sensory perception of bitter taste	2/441	11/38747	0.00664	6	2	1	1	1	0.323	t24246aep, t2479aep
.....GO:0019228	BP	e	neuronal action potential     	2/441	11/38747	0.00664	5	2	1	1	1	0.323	t526aep, t527aep
....GO:1901163	BP	e	regulation of trophoblast cell migration	2/441	11/38747	0.00664	7	2	1	1	1	0.323	t35146aep, t35488aep
........GO:0035020	BP	e	regulation of Rac protein signal transduction	2/441	11/38747	0.00664	9	2	1	1	1	0.323	t13546aep, t13547aep
...GO:0009410	BP	e	response to xenobiotic stimulus	5/441	104/38747	0.00684	3	5	1	1	1	0.33	t203aep, t20542aep, t2368aep, t2479aep, t32280aep
.........GO:0000187	BP	e	activation of MAPK activity   	4/441	66/38747	0.00685	13	4	1	1	1	0.33	t21682aep, t32280aep, t32984aep, t3924aep
.....GO:0043269	BP	e	regulation of ion transport   	12/441	459/38747	0.00687	5	12	1	1	1	0.331	t14664aep, t17803aep, t18338aep, t203aep, t21682aep, t24938aep, t25020aep, t32280aep, t36613aep, t526aep, t527aep, t9936aep
....GO:0006811	BP	e	ion transport                 	37/441	2048/38747	0.00699	4	37	1	1	1	0.335	t13511aep, t14664aep, t15078aep, t16922aep, t17750aep, t17803aep, t17956aep, t18338aep, t20009aep, t203aep, t24246aep, t2479aep, t24938aep, t25020aep, t27641aep, t29098aep, t29612aep, t29674aep, t30176aep, t31144aep, t3227aep, t32280aep, t3282aep, t33022aep, t33764aep, t35271aep, t36613aep, t37460aep, t38611aep, t526aep, t527aep, t5520aep, t6933aep, t7288aep, t8142aep, t8222aep, t9936aep
...GO:0048518	BP	e	positive regulation of biological process	60/441	3728/38747	0.00711	3	60	1	1	1	0.338	t10028aep, t11116aep, t11695aep, t12198aep, t13511aep, t13546aep, t13547aep, t14055aep, t16424aep, t16778aep, t17178aep, t18683aep, t18960aep, t19259aep, t19405aep, t19587aep, t19681aep, t20542aep, t21013aep, t21682aep, t22133aep, t2368aep, t24181aep, t24246aep, t24687aep, t2479aep, t24938aep, t2654aep, t28521aep, t29103aep, t29320aep, t2978aep, t30358aep, t31838aep, t32280aep, t32984aep, t34385aep, t34424aep, t34475aep, t34609aep, t35146aep, t35488aep, t35573aep, t35608aep, t35837aep, t37004aep, t38653aep, t38672aep, t38673aep, t3924aep, t5403aep, t6387aep, t7281aep, t7288aep, t7326aep, t8582aep, t8645aep, t8946aep, t9529aep, t9936aep
.....GO:0010605	BP	e	negative regulation of macromolecule metabolic process	37/441	2083/38747	0.00761	5	37	1	1	1	0.357	t11695aep, t12198aep, t14055aep, t16424aep, t16778aep, t17722aep, t17750aep, t18960aep, t19405aep, t203aep, t20662aep, t21682aep, t22133aep, t24687aep, t2654aep, t26740aep, t26772aep, t28521aep, t2978aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34424aep, t34609aep, t35488aep, t35573aep, t36169aep, t36337aep, t37043aep, t38672aep, t38673aep, t5914aep, t8490aep, t8582aep, t8645aep
....GO:0007599	BP	e	hemostasis                    	5/441	107/38747	0.00769	4	5	1	1	1	0.357	t21013aep, t24687aep, t31144aep, t34424aep, t8645aep
........GO:0043406	BP	e	positive regulation of MAP kinase activity	6/441	151/38747	0.00786	12	6	1	1	1	0.357	t17178aep, t21682aep, t29320aep, t32280aep, t32984aep, t3924aep
......GO:0035710	BP	e	CD4-positive, alpha-beta T cell activation	2/441	12/38747	0.00791	7	2	1	1	1	0.357	t17956aep, t6387aep
...GO:0071963	BP	e	establishment or maintenance of cell polarity regulating cell shape	2/441	12/38747	0.00791	7	2	1	1	1	0.357	t30358aep, t7326aep
.....GO:0044130	BP	e	negative regulation of growth of symbiont in host	2/441	12/38747	0.00791	7	2	1	1	1	0.357	t24687aep, t34424aep
......GO:1900739	BP	e	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2/441	12/38747	0.00791	9	2	1	1	1	0.357	t24687aep, t34424aep
......GO:0032717	BP	e	negative regulation of interleukin-8 production	2/441	12/38747	0.00791	6	2	1	1	1	0.357	t24687aep, t34424aep
.......GO:0010511	BP	e	regulation of phosphatidylinositol biosynthetic process	2/441	12/38747	0.00791	9	2	1	1	1	0.357	t13546aep, t13547aep
.....GO:0014056	BP	e	regulation of acetylcholine secretion, neurotransmission	2/441	12/38747	0.00791	8	2	1	1	1	0.357	t17803aep, t9936aep
.....GO:0044146	BP	e	negative regulation of growth of symbiont involved in interaction with host	2/441	12/38747	0.00791	6	2	1	1	1	0.357	t24687aep, t34424aep
.....GO:1900034	BP	e	regulation of cellular response to heat	3/441	36/38747	0.00791	6	3	1	1	1	0.357	t16778aep, t20542aep, t2978aep
.......GO:0007274	BP	e	neuromuscular synaptic transmission	3/441	36/38747	0.00791	8	3	1	1	1	0.357	t17803aep, t24938aep, t9936aep
....GO:0008299	BP	e	isoprenoid biosynthetic process	4/441	69/38747	0.008	6	4	1	1	1	0.36	t16922aep, t20009aep, t23663aep, t33020aep
....GO:0045595	BP	e	regulation of cell differentiation	22/441	1076/38747	0.00811	4	22	1	1	1	0.363	t10028aep, t12680aep, t13546aep, t13547aep, t16778aep, t17803aep, t19259aep, t19405aep, t20542aep, t21682aep, t24687aep, t24938aep, t32984aep, t34385aep, t34424aep, t37004aep, t4924aep, t5403aep, t7326aep, t8582aep, t8645aep, t9936aep
.....GO:0031326	BP	e	regulation of cellular biosynthetic process	61/441	3859/38747	0.00822	5	61	1	1	1	0.366	t10593aep, t11695aep, t13546aep, t13547aep, t13899aep, t14055aep, t14593aep, t14735aep, t16424aep, t16778aep, t17178aep, t17803aep, t17893aep, t18342aep, t18960aep, t19405aep, t20542aep, t21013aep, t21682aep, t22133aep, t23663aep, t24687aep, t24791aep, t24938aep, t24949aep, t25302aep, t25651aep, t25683aep, t26772aep, t27641aep, t28405aep, t28608aep, t29584aep, t2978aep, t30054aep, t31997aep, t32561aep, t32984aep, t33020aep, t34424aep, t34538aep, t35488aep, t35573aep, t35837aep, t37004aep, t38458aep, t38672aep, t4831aep, t4924aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t7712aep, t8490aep, t8582aep, t8645aep, t9529aep, t9936aep
.GO:0001906	BP	e	cell killing                  	3/441	37/38747	0.00854	1	3	1	1	1	0.379	t24687aep, t31838aep, t34424aep
.....GO:0019233	BP	e	sensory perception of pain    	3/441	37/38747	0.00854	5	3	1	1	1	0.379	t526aep, t527aep, t9936aep
.....GO:0010647	BP	e	positive regulation of cell communication	22/441	1086/38747	0.00867	5	22	1	1	1	0.384	t17178aep, t18960aep, t20542aep, t21013aep, t21682aep, t22133aep, t24246aep, t24687aep, t2479aep, t29103aep, t29320aep, t2978aep, t32280aep, t32984aep, t34424aep, t35608aep, t35837aep, t3924aep, t5403aep, t6387aep, t7281aep, t8946aep
